Func	Best	Worst	Mean	Median	Standard deviation
1	4e-09	9.3e-08	3.92e-08	3.2e-08	3.41716256563834e-08
2	0.000335351	0.480059418	0.0972745152	0.001057722	0.213989614743685
3	16.568861854	2834.094264152	961.4455424064	805.887539218	1145.28011487536
4	0.000590065	0.064051111	0.0150248564	0.002738432	0.0274728686147136
5	8.05e-07	6.717e-06	3.722e-06	4.024e-06	2.52012489769852e-06
6	0.000426834	0.006935137	0.0050241978	0.006295368	0.00270819080685911
7	0.420089898	0.610681286	0.5201779674	0.52594095	0.0682621196320787
8	0.151485602	5.875341255	3.2547035672	3.708785018	2.10037570294641
9	0.112119848	0.270805832	0.1760706096	0.179261862	0.0610283487134416
10	0.009550323	0.031895682	0.0197983574	0.018256313	0.00821379809882038
