Func	Best	Worst	Mean	Median	Standard deviation
1	7.2e-08	9.5e-08	8.54e-08	9.2e-08	1.13929802949009e-08
2	0.021624042	0.120068984	0.0543961596	0.044342736	0.0402054459560661
3	405.283703098	113107.100614203	25366.2844511024	4219.868065241	49137.2386918216
4	0.000502744	0.003063778	0.0012840266	0.001092628	0.00102928039187765
5	4.4e-08	1e-07	8.56e-08	9.7e-08	2.35435766186873e-08
6	0.137962856	0.894619073	0.3773918982	0.228245528	0.30687001318863
7	0.178588918	0.580160446	0.3579300612	0.284996563	0.165127342655822
8	20.072585933	20.184114783	20.1126290984	20.100264416	0.045292963051117
9	2.442106876	3.362541926	2.83888208	2.593606991	0.417796815952731
10	0.091134763	0.204803545	0.132541718	0.108279469	0.0477999268412632
11	3.667793816	9.105827548	5.3785053002	4.9627039	2.17126500656721
12	1.673787134	6.23294338	4.6591163328	5.380314901	1.86470141061573
13	5.321370717	8.960195957	7.1457047988	6.855654752	1.338207535205
14	211.425578888	431.876821718	352.6576452292	385.142712278	84.4735915446401
15	177.967383152	561.357502702	351.607119747	376.869845268	155.202560353134
16	0.670993406	1.160649099	0.9696904852	1.033464403	0.195658448808199
17	9.136882424	12.115155639	10.9302033948	11.075509049	1.0920545431447
18	8.91206664	14.308133711	11.3435236324	11.627997156	2.17247823636315
19	0.413729145	0.709547517	0.559761975	0.522547574	0.116143372056023
20	1.095443309	1.34588236	1.2411536238	1.299393124	0.105890514710964
21	300.00049104	300.810746102	300.1626456894	300.00070033	0.362299164791515
22	484.926770309	607.760067221	554.0028482516	573.252746053	51.8694565496424
23	516.309624019	712.096059961	644.3006134936	660.142131926	76.9129393646907
24	149.844235566	195.301733327	171.502078225	178.279044476	20.0754000465761
25	109.921131851	113.52112726	112.156724016	112.398719965	1.33611060081334
26	99.685731345	110.047900038	105.90841241	107.32052436	3.89277060609349
27	368.768546996	396.944662171	383.2858149968	384.311138019	11.0677738141534
28	300.00006353	300.000162883	300.0001279772	300.000136456	3.96077381490682e-05
