Func	Best	Worst	Mean	Median	Standard deviation
1	13.240638154	19.666139307	17.6703125	18.546822705	2.59925519163055
2	6243723.1048736	8492836.57524997	7313052.62340137	7415183.65456625	1018401.50239828
3	3578175435.2611	14117862839.8847	8563390806.16123	8552037068.6419	4057822931.51278
4	31420.809647241	44277.774090615	36098.606603657	33636.072079425	5408.62721500152
5	17.657525795	34.490807309	23.5774879768	18.838562458	7.45855523004604
6	11.063624969	15.876382546	12.3772796084	11.369253897	2.0294230058797
7	213.076342887	269.025966716	233.8352394576	229.700500155	22.2293548158871
8	20.361372972	20.442608135	20.406270896	20.409220102	0.0323161754104778
9	8.360135055	10.343459173	9.3368075256	9.379100593	0.734857750160878
10	20.076675959	51.838416578	34.4711039126	30.495829354	11.9753805055419
11	35.427344638	53.433788984	45.8355916244	47.401506328	6.6960877592973
12	57.496691634	69.17027494	62.2538412854	60.376295561	4.97237041318027
13	41.595308182	62.232508754	53.3254138688	55.19876944	8.31260198074248
14	1862.286065834	2094.073501679	1956.8667059998	1932.470685498	94.0958847218109
