Func	Best	Worst	Mean	Median	Standard deviation
1	5.8e-08	1e-07	7.52e-08	6.8e-08	1.65136307334275e-08
2	17.884700025	86.185338232	38.151434482	21.342703235	28.9946835951868
3	1090835.63734017	36826354.668993	11386960.4626798	2401018.69821279	15216571.8426107
4	0.198702935	11.603769506	2.5232279382	0.276878202	5.07629706714745
5	8.3e-08	1.75e-07	1.128e-07	9.4e-08	3.73991978523604e-08
6	4.126055202	6.186828679	5.2005976374	5.117541512	0.760384304569389
7	3.716124684	12.405885437	7.5250991478	7.580269157	3.23245969878668
8	20.402412527	20.545531552	20.4730267456	20.495259112	0.0602367989316036
9	9.456824218	10.333383995	9.8162953488	9.771222721	0.349140555383405
10	0.457657528	0.6010739	0.5099723512	0.485154552	0.0587751123451342
11	21.024326603	35.827633393	29.8056515364	32.243908195	6.51272724777981
12	18.991293911	38.408578689	29.4034581762	28.281932406	7.92746043111712
13	19.707321524	38.135712999	28.5467994036	30.953875656	7.32748772103492
14	1149.07516383	1474.837747259	1332.9921386278	1376.253146079	138.130337785025
