Func	Best	Worst	Mean	Median	Standard deviation
1	5.5e-08	9.4e-08	7.86e-08	8.5e-08	1.62573060498965e-08
2	8.490217535	26.863255214	17.297694158	16.128818393	7.29824474283537
3	470.786218457	36468.75795539	17957.061413657	10974.884794649	16458.8330601197
4	0.032279899	0.085841242	0.0670895484	0.072702536	0.0203400178768908
5	5.8e-08	9.1e-08	7.84e-08	8.4e-08	1.27397017233529e-08
6	5.374623862	6.213144384	5.673848458	5.576767404	0.320924883415826
7	0.481158011	1.390748938	0.9895147056	1.048750655	0.353811216538246
8	20.29230448	20.535130505	20.4011682294	20.36921548	0.0927394156763168
9	9.514607796	10.079787774	9.7557170406	9.816063867	0.241258692651377
10	0.391882106	0.573708842	0.4723523948	0.467911185	0.0659207459895972
11	26.333816529	35.67135674	30.8019104186	29.320439399	3.79068034839329
12	23.440659303	35.175788343	29.809058179	28.237714775	5.19905664206036
13	26.903041603	41.080450516	32.9996791288	28.85808141	7.13494234189115
14	1295.373515477	1583.557334979	1440.7177541248	1425.628004877	120.753739497477
