Func	Best	Worst	Mean	Median	Standard deviation
15	1522.934141518	1923.597629717	1712.4442714378	1760.223096181	159.400552899083
16	1.047709176	1.587783427	1.250703138	1.074826371	0.265337676744961
17	30.890618187	41.788050933	36.2603215032	35.823077804	4.61386044048654
18	32.105443462	45.359023437	40.140276162	40.276573672	5.04272807893693
19	1.891452716	3.04544194	2.5196428762	2.468962353	0.424273153070165
20	3.400720352	3.795206476	3.548610237	3.495641166	0.158627172745996
21	400.193867219	400.193867219	400.193867219	400.193867219	0
22	1619.659002611	1990.347700917	1854.8269839524	1891.125609074	143.265268114403
23	1494.459026579	2145.415645893	1914.7876805256	1986.743071361	250.342565866863
24	223.166556683	226.116227843	224.7791416972	224.459497191	1.25779210952732
25	225.456590547	227.410216491	226.2608041294	225.958593788	0.74670654128922
26	200.015699874	200.016131584	200.0158116172	200.015736832	0.000181282351995731
27	519.550039272	566.899120028	545.0020589202	549.457144388	18.0060737162864
28	300.000136585	300.000264873	300.0002127006	300.000241839	5.46855272548613e-05
