It	Max	Avg	Min
50	371.646201677234	254.798443970789	137.589110506093
100	211.140018279985	149.22051412944	98.9354031653709
150	151.9707136117	113.296351604499	78.7135525105545
200	135.954917918691	99.5178270170281	53.614069649942
250	115.60568774502	92.1629107529203	53.614069649942
300	111.315369594856	87.273557437531	53.614069649942
350	102.701107379626	83.4951241249393	53.614069649942
400	101.896470615635	80.0288846762982	44.5611663389508
450	101.896470615635	78.8921970421493	44.5611663389508
500	101.896470615635	76.2993662588272	44.5611663389508
550	96.9934049915309	74.9749979710439	44.5611663389508
600	93.0353931754903	73.5408526812509	44.5611663389508
650	93.0353931754903	72.3807217673323	41.6523749360456
700	92.5948022259053	70.3281863970543	36.1288739469866
750	91.1421617159112	69.4817091267269	36.1288739469866
800	91.1421617159112	68.3900640194361	36.1288739469866
850	87.2592156803948	67.7958313901112	36.1288739469866
900	83.7226930774006	66.5888051495595	36.1288739469866
950	83.7226930774006	65.3842672315008	36.1288739469866
1000	83.7226930774006	64.0388429011902	36.1288739469866
1050	81.2174425254303	63.1556521676429	36.1288739469866
1100	81.2174425254303	62.1885574972877	36.1288739469866
1150	81.2174425254303	61.8829096853325	36.1288739469866
1200	79.5842585956981	61.5416951718604	36.1288739469866
1250	79.5842585956981	60.4145192032702	36.1288739469866
1300	79.5842585956981	59.560664025723	36.1288739469866
1350	79.5842585956981	59.4604951575942	36.1288739469866
1400	79.5842585956981	58.6414924446305	36.1288739469866
1450	79.5842585956981	58.3877517631223	36.1288739469866
1500	79.5842585956981	58.114938171216	36.1288739469866
1550	79.5842585956981	58.0127336471135	36.1288739469866
1600	79.2823667545399	57.5500994426883	36.1288739469866
1650	79.2823667545399	57.2316531359087	36.1288739469866
1700	77.410043818914	56.9062445336086	36.1288739469866
1750	77.410043818914	56.4409921635054	36.1288739469866
1800	77.410043818914	55.826149591415	36.1288739469866
1850	70.4152396770918	55.5103459015301	36.1288739469866
1900	70.4152396770918	54.9528739731487	36.1288739469866
1950	70.4152396770918	54.299888877255	36.1288739469866
2000	69.8041944209467	54.15538596478	36.1288739469866
