It	Max	Avg	Min
50	10.857784579131	7.72284953758151	3.32684248231578
100	7.56989365590346	5.76993326011335	2.8103815630393
150	7.4237636802593	5.13572295897615	2.07582978059213
200	6.6318162303134	4.78497959810908	2.07582978059213
250	6.45064217447066	4.56034903124396	2.07582978059213
300	5.92770878573401	4.49897665433381	2.07582978059213
350	5.75171456455035	4.37060506250737	2.07582978059213
400	5.43332531406628	4.29819894974868	2.07582978059213
450	5.41867644418784	4.19751828224904	2.07582978059213
500	5.41867644418784	4.1252964661832	2.07582978059213
550	5.41867644418784	4.06505883637426	2.07582978059213
600	5.21301180421023	4.02757981560159	2.07582978059213
650	5.19969389508276	3.99281985719555	2.07582978059213
700	5.19969389508276	3.9440190419416	2.07582978059213
750	5.19969389508276	3.8433148211378	2.07582978059213
800	5.19969389508276	3.80954207314255	2.07582978059213
850	5.19969389508276	3.74015773014889	2.07582978059213
900	4.89422942003722	3.69038738936891	2.07582978059213
950	4.89422942003722	3.66527444996512	2.07582978059213
1000	4.64204390453517	3.62488420436904	2.07582978059213
1050	4.64204390453517	3.60281211856331	2.07582978059213
1100	4.64204390453517	3.5755285476692	2.07582978059213
1150	4.64204390453517	3.53875228180661	2.07582978059213
1200	4.48976189993738	3.49210795859351	2.07582978059213
1250	4.48976189993738	3.48381281881729	2.07582978059213
1300	4.48976189993738	3.43583210058673	1.57798555354941
1350	4.48976189993738	3.41024411277107	1.57798555354941
1400	4.48976189993738	3.39364827823748	1.57798555354941
1450	4.48976189993738	3.33111330872444	1.57798555354941
1500	4.48976189993738	3.30615867357654	1.57798555354941
1550	4.48976189993738	3.26018430519286	1.57798555354941
1600	4.48976189993738	3.24645438961906	1.57798555354941
1650	4.48976189993738	3.2093135920285	1.57798555354941
1700	4.48976189993738	3.19810238533703	1.57798555354941
1750	4.43304053335731	3.18285550154348	1.57798555354941
1800	4.43304053335731	3.16009504899776	1.57798555354941
1850	4.43304053335731	3.14279556448936	1.57798555354941
1900	4.26818169628478	3.13879276788005	1.57798555354941
1950	4.26818169628478	3.13631657880964	1.57798555354941
2000	4.26818169628478	3.11988944009702	1.57798555354941
