Func	Best	Worst	Mean	Median	Standard deviation
15	1876.856361633	2263.68775186	2129.8358687516	2227.662638442	170.015481173538
16	0.857122152	1.662628996	1.3851366352	1.501298528	0.325888649206571
17	62.101409028	73.032113812	66.0099312096	64.491840328	4.1759507095411
18	59.441160343	68.768113329	64.7578389124	67.676479044	4.61544587201256
19	4.607111935	5.834733563	5.252513148	5.260079603	0.503147922428236
20	4.253556329	4.435870479	4.3412667486	4.313726636	0.0773159305795099
21	308.461101285	402.060239959	376.0579890358	401.419122837	40.7161775792378
22	1892.342446222	2426.371156947	2179.1298038118	2201.733883424	229.743047436722
23	2190.289467532	2436.937282605	2341.9614233262	2336.585414573	99.2278064391127
24	223.354662382	228.45919048	226.33226778	226.776530219	1.95264521712311
25	219.453206761	226.170674182	223.0326084886	223.345648043	2.41537866671757
26	211.563525999	290.942943992	256.406050534	267.626574473	33.5263856276003
27	540.387611989	578.258788932	557.1267989802	556.564330368	16.0593201778645
28	411.651901618	451.783013964	429.6508523808	426.814389011	16.553742799041
