It	Max	Avg	Min
50	779479.509734638	116521.75835874	1061.35146500885
100	21002.1447067055	3771.21256593152	24.9941159426761
150	1050.27954730044	133.616668497548	10.1963506949413
200	37.3901418739273	14.6498382595547	5.68713625906781
250	12.6842031159676	8.88091641838591	4.78373520675819
300	11.3071507930465	7.89828866616853	4.78373520675819
350	9.19010037229782	7.10102410204099	4.01166421865986
400	9.19010037229782	6.69973861590957	4.01166421865986
450	8.87952990849681	6.40488966714468	4.01166421865986
500	7.73656706627332	6.16339664659203	4.01166421865986
550	7.73656706627332	6.00392222490507	3.70222826498014
600	7.73656706627332	5.8924834766156	3.70222826498014
650	7.73656706627332	5.75492571944481	3.02346298830901
700	7.73656706627332	5.61915331633051	3.02346298830901
750	7.73656706627332	5.54948565088663	3.02346298830901
800	7.21122109928046	5.45410028168813	3.02346298830901
850	7.1396388312312	5.37292608930148	3.02346298830901
900	7.1396388312312	5.34667344053295	3.02346298830901
950	7.1396388312312	5.25506218588977	3.02346298830901
1000	6.98672865812546	5.15848952195105	3.02346298830901
1050	6.64708764240032	5.08802537767009	3.02346298830901
1100	6.64708764240032	5.05833166976839	3.02346298830901
1150	6.64708764240032	4.97634513005543	3.02346298830901
1200	6.53038095262127	4.9245837934329	3.02346298830901
1250	6.38956209824693	4.85298056516291	2.87106499921424
1300	6.29116694431139	4.82716212540527	2.87106499921424
1350	6.29116694431139	4.78524357627177	2.87106499921424
1400	6.29116694431139	4.74347968499163	2.5338827725663
1450	6.29116694431139	4.70768746617809	2.5338827725663
1500	6.29116694431139	4.65837546819272	2.5338827725663
1550	6.29116694431139	4.62846526949493	2.5338827725663
1600	6.29116694431139	4.62731726003823	2.5338827725663
1650	6.29116694431139	4.62094657105198	2.5338827725663
1700	5.92427890027659	4.57841338599762	2.5338827725663
1750	5.92427890027659	4.54670887786854	2.5338827725663
1800	5.92427890027659	4.53204923586091	2.5338827725663
1850	5.92427890027659	4.49932517969498	2.5338827725663
1900	5.92427890027659	4.46807882802484	2.5338827725663
1950	5.92427890027659	4.44996492199779	2.5338827725663
2000	5.87273440923667	4.43687356241749	2.5338827725663
