Func	Best	Worst	Mean	Median	Standard deviation
21	2.382555796	26.924071985	13.0110109752	10.970712455	8.90797876408225
22	5.888268672	36.420968344	22.2639102564	23.772541149	12.0755120818767
23	0.398618034	47.793440356	13.1445795462	4.950850006	19.9352775307907
24	1.503886472	5.647858184	3.1738844618	2.856735493	1.52941182922199
25	1.618502844	8.702050036	3.6407764498	2.711348278	2.92262791165608
26	0.197847398	1.324621396	0.7821894974	0.689743534	0.506430774820999
27	45.328500853	144.504531118	105.6177227054	110.419735437	37.4784848192739
28	4.175212882	12.17847742	7.5753536178	7.403524916	2.89893933738194
