Func	Best	Worst	Mean	Median	Standard deviation
11	0.058099101	1.03150874	0.3415930052	0.089716492	0.42178006508914
12	0.016198189	0.483451739	0.1909491106	0.157696216	0.182367865004354
13	0.034277933	0.053255482	0.0434857536	0.043724079	0.00684788839698113
14	0.48737377	16.693868939	5.5059707434	3.804225955	6.46903478277329
15	3.593473574	29.507320489	15.8409767212	17.054044016	11.2828078587332
16	0.26913346	0.687073585	0.4789902012	0.496438681	0.163922716297008
17	0.418900663	2.205177276	1.5644354406	1.896197366	0.745408405916095
18	1.338481874	2.238919725	1.9325330428	1.984755413	0.35495974593474
19	9.63e-07	0.000265812	8.2058e-05	4.8366e-05	0.000108857366496255
20	0.019434158	0.022279643	0.0200330602	0.019469741	0.00125627903657257
