Func	Best	Worst	Mean	Median	Standard deviation
15	989.659514655	1882.041831969	1497.8766455254	1692.906288212	382.657435356591
16	1.022462674	1.500926083	1.3384462034	1.423903139	0.193054021294124
17	29.1555632	43.94340472	36.781692932	35.888897033	5.99138927951344
18	34.356959139	45.808019432	39.8277850568	39.017660668	4.33827458323769
19	2.648716993	3.155089273	2.853320484	2.739702995	0.214299322285747
20	3.506029252	3.722181087	3.5937187806	3.576517383	0.0934323807356557
21	400.193867219	400.193867219	400.193867219	400.193867219	0
22	1740.817041722	1971.661501372	1852.1765387932	1864.860784071	89.9775756028407
23	1627.942753749	1935.247705429	1816.211599852	1856.194910481	128.556962888728
24	223.190374344	226.473481428	224.5976876124	224.858725019	1.39951175508996
25	222.658402223	226.265790902	224.1793909546	224.102847287	1.37053535247165
26	200.015700167	200.016165198	200.0158126532	200.015735239	0.000198167174749845
27	545.657800047	570.526267141	553.5595214018	550.546379675	9.8105983216061
28	300.000146929	300.000229171	300.0001841296	300.000178864	3.33930724224374e-05
