It	Max	Avg	Min
50	107.243489808254	83.1340347827206	48.2317942627022
100	87.6323174987737	67.1321663251796	33.4191027037444
150	82.4761102282552	61.0350312246463	33.4191027037444
200	74.6575821400169	56.2789563677907	33.4191027037444
250	70.4998533013709	53.6034091166721	33.4191027037444
300	67.2257253207909	51.6810194534007	33.4191027037444
350	66.9571973697682	50.7453164156401	31.8455202528933
400	66.9571973697682	49.1197739026906	31.8455202528933
450	65.213505640704	48.1322765499944	26.3322418843933
500	65.213505640704	47.3075129563604	26.3322418843933
550	65.213505640704	46.6257332821698	26.3322418843933
600	64.0877727746004	45.5540524906057	22.8801972739307
650	64.0877727746004	45.3171456921473	22.8801972739307
700	57.3280836544855	45.0023667579919	22.8801972739307
750	56.4515613573797	44.5904806473155	22.8801972739307
800	56.4515613573797	44.2034305659456	22.8801972739307
850	56.4515613573797	43.7019965594364	22.8801972739307
900	56.4515613573797	43.5102002734389	22.8801972739307
950	56.4515613573797	43.2091865522967	22.8801972739307
1000	56.4515613573797	42.9338974965954	22.8801972739307
1050	56.4515613573797	42.6008839207633	22.8801972739307
1100	54.5584382561078	42.2300145592745	22.8801972739307
1150	54.5584382561078	42.0677126673746	22.8801972739307
1200	54.5584382561078	41.8982535408563	22.8801972739307
1250	54.5584382561078	41.8357843819684	22.8801972739307
1300	53.2569395618953	41.6437553076953	22.8801972739307
1350	53.2569395618953	41.4459018429872	22.8801972739307
1400	53.2569395618953	41.1189745253147	22.8801972739307
1450	53.2569395618953	40.9104601884224	22.8801972739307
1500	53.2569395618953	40.8288612502844	22.8801972739307
1550	53.2569395618953	40.7962063462897	22.8801972739307
1600	53.2569395618953	40.628084776634	22.8801972739307
1650	53.2569395618953	40.4771003904974	22.8801972739307
1700	53.2569395618953	40.4771003904974	22.8801972739307
1750	53.2569395618953	40.1681854250849	22.8801972739307
1800	53.2569395618953	40.0153000069965	22.8801972739307
1850	53.2569395618953	40.0087390768106	22.8801972739307
1900	53.2569395618953	39.9514011561913	22.8801972739307
1950	53.2569395618953	39.773614210229	22.8801972739307
2000	53.2569395618953	39.6482406748865	22.8801972739307
