Func	Best	Worst	Mean	Median	Standard deviation
1	2.05e-06	6.934e-06	4.4518e-06	4.394e-06	1.82389561104796e-06
2	0.009880861	0.338800097	0.1134757566	0.092279626	0.131961056985298
3	0.327389847	2.682140471	1.4206509684	1.097807093	0.906685116850024
4	0.000493192	0.206667617	0.0916271258	0.075580237	0.0933367324422844
5	2.0674e-05	0.000199571	9.52532e-05	8.2751e-05	6.70906444051628e-05
6	2.779e-06	0.000142815	3.87864e-05	1.238e-05	5.8745571695235e-05
7	0.059039801	0.257598069	0.1394777344	0.113020727	0.0770098787445393
8	2.701899473	13.358188401	7.5383746562	7.080692015	4.64758995368691
9	0.09332612	0.348005583	0.252610238	0.272129757	0.102147916767029
10	0.000245098	0.049854026	0.032996682	0.040934482	0.0194592809466932
11	0.008820066	0.122487882	0.0513573904	0.052885774	0.0463778489126499
12	0.017184823	0.197515432	0.1009251722	0.087992361	0.0720167340256835
13	0.002921566	0.202417158	0.0828212712	0.020044044	0.100095771498602
14	2.351535517	16.069988269	7.2213913424	5.55272126	5.24991272486078
15	5.590627503	13.058878927	10.8820733484	11.606891204	3.04533792831879
16	0.387300061	0.782094099	0.5400935082	0.486333572	0.154866104797204
17	0.427094551	2.295038652	1.650284671	1.894426459	0.738406691141133
18	1.302044488	2.396410053	2.1028938346	2.271877233	0.452673396643375
19	0.000253797	0.007194906	0.0020624992	0.001120492	0.00291189507025523
20	0.019441125	0.021335674	0.020436817	0.020293118	0.00070843770615877
21	0.020182028	0.270149749	0.160841004	0.14189028	0.100815948951697
22	15.133147321	64.289656282	36.6455158328	30.70294	22.9690952468967
23	3.933327878	18.826373394	11.4345841006	11.4864972	5.29514505109768
24	0.087982167	6.631776884	2.6596747536	2.633777052	2.52769855334047
25	1.25282173	19.500198328	6.5728870798	3.521801031	7.47915137157592
26	0.343837486	3.097360737	1.2680144928	0.903236412	1.06890058490039
27	122.859070925	191.368114299	150.7853411062	150.964825085	26.5731609227687
28	0.191338194	0.636899453	0.447078557	0.528427866	0.204426868129684
